3.83ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:284:31	get {}
3.81ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:378:18	private func next() -> (Int, Int)?
3.58ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Util/optable.swift:25:13	public func printPowOpTable<M>(values: [M], _ n: Int) where M : Monoid
3.55ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Permutation.swift:47:45	get {}
3.52ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:537:18	private func eliminateCol(_ i0: Int, _ j0: Int)
3.45ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Extensions/Sequence.swift:32:10	func unique() -> [Iterator.Element]
3.27ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/Ring.swift:28:17	static func **(a: Self, n: Int) -> Self
3.22ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:299:10	func apply(_ s: EliminationStep<R>)
3.18ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:22:12	public init(_ table: [A : R])
3.13ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Simplex.swift:52:36	get {}
3.12ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:132:22	fileprivate func invert(_ s: EliminationStep<R>) -> EliminationStep<R>
2.99ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:522:18	private func eliminateRow(_ i0: Int, _ j0: Int)
2.92ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/Field.swift:11:22	get {}
2.91ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Hom/FreeModHom.swift:38:25	private static func map2matrix(_ domainBasis: [A], _ codomainBasis: [A], _ mapping: [A : M]) -> TypeLooseMatrix<R>
2.75ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:95:30	get {}
